id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13726119,Les Immeubles Charlevoix - Le Perchoir 1018,34462857,Les Immeubles Charlevoix Courtier,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81506,-71.20316,Entire home/apt,173,2,18,2022-09-26,0.23,59,346,7,
13727799,Les Immeubles Charlevoix - Le Perchoir 1019,34462857,Les Immeubles Charlevoix Courtier,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81506,-71.20316,Entire home/apt,159,2,61,2022-11-15,0.79,59,340,19,
13728329,Bienvenue à québec (4874),80285922,Mélanie,,Chutes-Montmorency,46.88296,-71.15162,Entire home/apt,65,1,532,2022-11-20,6.82,3,298,88,
13729220,Les Immeubles Charlevoix - Le Perchoir 1020,34462857,Les Immeubles Charlevoix Courtier,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81506,-71.20316,Entire home/apt,173,2,26,2022-10-10,0.34,59,344,13,
13847361,Ambiance chalet au cœur de Québec,6880175,André-Pier,,Sillery,46.77664,-71.24473,Entire home/apt,80,6,9,2019-07-04,0.12,1,0,0,
13971980,"Entrée, douche, toilette privée touriste.no.309792",83151318,Francine,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81587,-71.20715,Private room,110,2,384,2022-12-05,4.96,4,37,69,309792
14011992,Grande maison familiale avec piscine ville de Qc,33612078,Léa,,Saint-Émile,46.87903,-71.33313,Entire home/apt,333,4,2,2016-10-14,0.03,1,355,0,
14068275,"Le Jardin, Espace Bucolique (CITQ #296123)",84482665,Claude Marie Et Richard,,Sillery,46.78109,-71.26184,Private room,130,2,101,2022-10-11,1.30,2,247,17,
14085645,"Appartement pratique 2 1/2, au coeur de la Ville",51900484,Louise,,Saint-Roch,46.81005,-71.22658,Entire home/apt,40,30,5,2018-06-02,0.06,1,0,0,
14126656,"Huge house, heart of Sainte-Foy",10023073,Kevin,,Cité Universitaire,46.77788,-71.28891,Entire home/apt,238,30,8,2022-09-23,0.10,4,365,1,
14177760,Loft #201 - in the ♥  of Nouvo St-Roch - downtown,49947368,Isabelle,,Saint-Roch,46.81383,-71.22535,Entire home/apt,79,2,263,2022-11-29,3.45,15,335,37,294608
14238019,condo luxe next to laval university,31940664,Guy,,Cité Universitaire,46.78893,-71.27776,Entire home/apt,189,7,20,2019-01-02,0.26,1,0,0,
14238964,Affordable & Economical  Room in SAINT ROCH,84165980,Lalit,,Saint-Roch,46.81738,-71.22367,Private room,120,30,147,2018-11-26,1.90,1,0,0,
14316552,Les Immeubles Charlevoix - 760102,34462857,Les Immeubles Charlevoix Courtier,,Saint-Jean-Baptiste,46.81234,-71.21615,Hotel room,95,30,1,2017-07-04,0.02,59,344,0,
14329211,Les Immeubles Charlevoix - 760204,34462857,Les Immeubles Charlevoix Courtier,,Saint-Jean-Baptiste,46.81234,-71.21615,Hotel room,317,2,5,2022-08-05,0.08,59,349,4,
14331180,Les Immeubles Charlevoix - 760205,34462857,Les Immeubles Charlevoix Courtier,,Saint-Jean-Baptiste,46.81234,-71.21615,Hotel room,69,31,0,,,59,364,0,
14331582,Les Immeubles Charlevoix - 760206,34462857,Les Immeubles Charlevoix Courtier,,Saint-Jean-Baptiste,46.81234,-71.21615,Entire home/apt,159,2,6,2022-06-11,0.10,59,302,2,
14332221,Les Immeubles Charlevoix - 760209,34462857,Les Immeubles Charlevoix Courtier,,Saint-Jean-Baptiste,46.81234,-71.21615,Entire home/apt,355,2,13,2021-10-17,0.20,59,136,0,
14334314,Les Immeubles Charlevoix - 760210,34462857,Les Immeubles Charlevoix Courtier,,Saint-Jean-Baptiste,46.81234,-71.21615,Hotel room,134,30,26,2020-02-10,0.37,59,334,0,
14339583,Les Immeubles Charlevoix - 760214,34462857,Les Immeubles Charlevoix Courtier,,Saint-Jean-Baptiste,46.81293,-71.21689,Hotel room,159,2,30,2022-11-06,0.46,59,348,17,
